,0.25,0.375,0.5
959,14.0,15.0,14.0
960,14.0,7.0,11.0
961,16.0,13.0,26.0
962,13.0,9.0,5.0
963,8.0,18.0,5.0
964,8.0,19.0,14.0
965,8.0,23.0,9.0
966,14.0,11.0,13.0
967,4.0,9.0,6.0
968,12.0,9.0,4.0
969,6.0,6.0,14.0
970,11.0,10.0,8.0
971,10.0,16.0,12.0
972,10.0,20.0,13.0
973,19.0,12.0,10.0
974,15.0,7.0,23.0
975,23.0,25.0,14.0
976,19.0,12.0,8.0
977,11.0,21.0,12.0
978,12.0,10.0,5.0
979,21.0,14.0,8.0
980,24.0,6.0,38.0
981,5.0,20.0,7.0
982,17.0,16.0,11.0
983,12.0,11.0,30.0
984,16.0,11.0,6.0
985,12.0,10.0,15.0
986,12.0,9.0,11.0
987,12.0,8.0,8.0
988,20.0,17.0,11.0
989,10.0,13.0,9.0
990,19.0,5.0,14.0
991,11.0,17.0,4.0
992,13.0,9.0,11.0
993,12.0,19.0,5.0
